procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,255,Rega Al Buteen,EMAAR TOWER 2,1046.0,Unknown,Unknown,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,3 B/R,1,161.37,1.0,1.0,0.0,2015.0,6.0,22.0,7436.33,161.37
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,409,Al Barshaa South Third,Marquis Insignia,2880.0,Marquis Insignia,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1 B/R,1,78.03,1.0,1.0,0.0,2015.0,6.0,22.0,16049.13,78.03
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Sparkle Tower 1,1551.0,SPARKLE TOWERS,Dubai Marina,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,137.03,1.0,1.0,0.0,2015.0,6.0,22.0,14204.92,137.03
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,350,Al Thanyah Fifth,GOLDCREST VIEWS 2,150.0,GOLD CREST VIEWS2,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Studio,1,40.25,1.0,1.0,0.0,2011.0,5.0,25.0,6211.18,40.25
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA CROWN TOWER,1046.0,Unknown,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,131.13,1.0,1.0,0.0,2015.0,6.0,22.0,5795.78,131.13
Sell,3,Unit,112.0,Hotel Rooms,Hospitality ,1,Existing Properties,330,Marsa Dubai,TFG MARINA,1318.0,TFG MARINA,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,Studio,1,57.09,1.0,1.0,0.0,2017.0,11.0,13.0,26943.44,57.09
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,382,Al Waheda,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Abu Hail Metro Station,Unknown,Unknown,0,232.26,1.0,1.0,0.0,2015.0,6.0,22.0,1980.54,232.26
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,AL SEEF 1,42.0,ALSEEF I,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,3 B/R,1,330.15,1.0,2.0,0.0,2021.0,1.0,27.0,7572.32,330.15
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,MARINA ARCADE,948.0,MARINA ARCADE,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,150.78,1.0,1.0,0.0,2016.0,8.0,15.0,13861.25,150.78
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,REEHAN 1,1046.0,Unknown,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,116.87,1.0,1.0,0.0,2024.0,8.0,23.0,22674.77,116.87
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,Arabian,1960.0,Canal Residence West 2,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,49.36,1.0,1.0,0.0,2023.0,7.0,26.0,8928.55,49.36
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,CONCORDE TOWER 1,883.0,CONCORDE TOWER,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,72.72,1.0,1.0,0.0,2022.0,1.0,21.0,8182.07,72.72
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,434,Wadi Al Safa 6,Unknown,1046.0,Unknown,Arabian Ranches - 1,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Unknown,0,585.01,1.0,1.0,0.0,2007.0,1.0,18.0,3076.87,585.01
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,CAYAN TOWER,130.0,CAYAN TOWER,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,2 B/R,1,127.5,3.0,2.0,0.0,2024.0,7.0,22.0,24000.0,127.5
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Studio One ,1776.0,Studio One,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,1 B/R,1,66.7,2.0,1.0,0.0,2024.0,3.0,14.0,23988.01,66.7
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,CLAREN TOWER 2,1275.0,CLAREN 1,DownTown Dubai,Downtown Dubai,Business Bay Metro Station,Dubai Mall,3 B/R,1,159.68,1.0,2.0,0.0,2022.0,12.0,14.0,17535.07,159.68
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,SHEMARA W2,1046.0,Unknown,Dubai Marina,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,125.42,1.0,1.0,0.0,2024.0,9.0,19.0,18796.41,125.42
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,409,Al Barshaa South Third,Marquis Insignia,2880.0,Marquis Insignia,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,109.33,1.0,1.0,0.0,2015.0,6.0,22.0,15020.8,109.33
Sell - Pre registration,3,Unit,112.0,Hotel Rooms,Hospitality ,0,Off-Plan Properties,330,Marsa Dubai,TFG ONE HOTEL,1688.0,TFG ONE HOTEL,Dubai Marina,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Studio,1,41.2,1.0,1.0,0.0,2015.0,6.0,22.0,41535.19,41.2
