procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,I-07,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,Studio,0,44.0,1.0,1.0,0.0,2014.0,6.0,25.0,8181.82,44.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,PRINCESS TOWER,221.0,PRINCESS TOWER,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,122.07,1.0,1.0,0.0,2022.0,9.0,20.0,10649.63,122.07
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,ROVE HOME DUBAI MARINA,3393.0,ROVE HOME DUBAI MARINA,Dubai Marina,Burj Al Arab,Marina Mall Metro Station,Marina Mall,Studio,1,36.78,1.0,1.0,0.0,2025.0,12.0,17.0,41598.69,36.78
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,CLAREN TOWER 2,1275.0,CLAREN 1,DownTown Dubai,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2 B/R,1,142.39,1.0,1.0,0.0,2025.0,6.0,24.0,19313.15,142.39
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,409,Al Barshaa South Third,MARQUIS GALLERIA,2591.0,Marquis Galleria,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1 B/R,1,76.99,1.0,3.0,0.0,2023.0,6.0,21.0,11579.5,76.99
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,Tamweel Tower,1046.0,Unknown,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,2 B/R,1,157.01,1.0,1.0,0.0,2015.0,6.0,22.0,10031.21,157.01
Sell,3,Unit,23.0,Shop,Commercial,1,Existing Properties,343,Al Warsan First,I-07,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,34.0,2.0,1.0,0.0,2017.0,9.0,19.0,8823.53,34.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,ELITE 10 SPORTS RESIDENCE - 1,1607.0,ELITE 10 SPORTS RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,73.14,1.0,1.0,0.0,2018.0,3.0,20.0,10596.12,73.14
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1052.0,Emirates Living - Springs 14,Springs - 1,Sports City Swimming Academy,Damac Properties,Marina Mall,3 B/R,0,254.89,4.0,2.0,0.0,2022.0,10.0,19.0,10906.67,254.89
Sell,2,Building,60.0,Unknown,Residential / Commercial,1,Existing Properties,249,Al Muteena,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Salah Al Din Metro Station,Dubai Mall,Unknown,0,438.97,1.0,1.0,0.0,2013.0,4.0,25.0,16174.23,438.97
Sell,3,Unit,23.0,Shop,Commercial,1,Existing Properties,343,Al Warsan First,Y-09,1046.0,Unknown,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,67.0,3.0,1.0,0.0,2008.0,11.0,24.0,6452.24,67.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,AL Murjan,1046.0,Unknown,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,2 B/R,1,145.86,1.0,1.0,0.0,2015.0,6.0,22.0,7418.07,145.86
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,350,Al Thanyah Fifth,GOLDCREST VIEWS 2,150.0,GOLD CREST VIEWS2,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Studio,1,42.7,1.0,1.0,0.0,2011.0,5.0,23.0,7025.76,42.7
Lease to Own Registration,4,Villa,60.0,Unknown,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1046.0,Unknown,Meadows 1,Sports City Swimming Academy,Damac Properties,Marina Mall,Unknown,0,603.5,2.0,2.0,2.0,2008.0,11.0,17.0,2225.02,603.5
Sell - Pre registration,3,Unit,101.0,Hotel Apartment,Hospitality ,0,Off-Plan Properties,390,Burj Khalifa,Address Residences Sky View,1338.0,THE ADDRESS RESIDENCE - SKY VIEW,DownTown Dubai,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,187.57,1.0,1.0,0.0,2015.0,6.0,22.0,28180.88,187.57
